Day,Order sumary,,,,, Totals 
,508,20,$4.75 ,$95.00 ,,
,509,66,$7.50 ,$495.00 ,,
,510,30,$3.75 ,$112.50 ,,
,511,10,$4.50 ,$45.00 ,,
,512,4,$3.50 ,$14.00 ,,
,513,70,$0.10 ,$7.00 ,,
,514,70,$1.50 ,$105.00 ,,
,515,28,$1.50 ,$42.00 ,,
,516,18,$1.50 ,$27.00 ,,
,517,44,$1.75 ,$77.00 ,,
,518,76,$1.25 ,$95.00 ,,
,519,30,$2.00 ,$60.00 ,,
,,,,,,
Friday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,735.25 "
,501,38,$6.50 ,$247.00 ,,
,502,42,$5.50 ,$231.00 ,,
,503,33,$4.50 ,$148.50 ,,
,504,20,$2.50 ,$50.00 ,,
,505,23,$5.00 ,$115.00 ,,
,506,18,$32.00 ,$576.00 ,,
,507,14,$0.75 ,$10.50 ,,
,508,24,$4.75 ,$114.00 ,,
,509,85,$7.50 ,$637.50 ,,
,510,28,$3.75 ,$105.00 ,,
,511,12,$4.50 ,$54.00 ,,
,512,10,$3.50 ,$35.00 ,,
,513,70,$0.10 ,$7.00 ,,
,514,72,$1.50 ,$108.00 ,,
,515,26,$1.50 ,$39.00 ,,
,516,18,$1.50 ,$27.00 ,,
,517,43,$1.75 ,$75.25 ,,
,518,70,$1.25 ,$87.50 ,,
,519,34,$2.00 ,$68.00 ,,
,,,,,,
Saturday,Item,Quantity,Item Price,Total Cost of Item,Total,"$3,394.75 "
,501,67,$6.50 ,$435.50 ,,
,502,56,$5.50 ,$308.00 ,,
,503,75,$4.50 ,$337.50 ,,
,504,53,$2.50 ,$132.50 ,,
,505,20,$5.00 ,$100.00 ,,
,506,10,$32.00 ,$320.00 ,,
,507,48,$0.75 ,$36.00 ,,
,508,26,$4.75 ,$123.50 ,,
,509,102,$7.50 ,$765.00 ,,
,510,24,$3.75 ,$90.00 ,,
,511,15,$4.50 ,$67.50 ,,
,512,16,$3.50 ,$56.00 ,,
,513,130,$0.10 ,$13.00 ,,
,514,98,$1.50 ,$147.00 ,,
,515,39,$1.50 ,$58.50 ,,
,516,27,$1.50 ,$40.50 ,,
,517,60,$1.75 ,$105.00 ,,
,518,97,$1.25 ,$121.25 ,,
,519,69,$2.00 ,$138.00 ,,
