Day,Order sumary,,,,, Totals 
,512,5,$3.50 ,$17.50 ,,
,513,69,$0.10 ,$6.90 ,,
,514,65,$1.50 ,$97.50 ,,
,515,26,$1.50 ,$39.00 ,,
,516,17,$1.50 ,$25.50 ,,
,517,40,$1.75 ,$70.00 ,,
,518,66,$1.25 ,$82.50 ,,
,519,38,$2.00 ,$76.00 ,,
,,,,,,
Thursday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,022.95 "
,501,40,$6.50 ,$260.00 ,,
,502,50,$5.50 ,$275.00 ,,
,503,45,$4.50 ,$202.50 ,,
,504,37,$2.50 ,$92.50 ,,
,505,8,$5.00 ,$40.00 ,,
,506,3,$32.00 ,$96.00 ,,
,507,33,$0.75 ,$24.75 ,,
,508,16,$4.75 ,$76.00 ,,
,509,50,$7.50 ,$375.00 ,,
,510,30,$3.75 ,$112.50 ,,
,511,10,$4.50 ,$45.00 ,,
,512,11,$3.50 ,$38.50 ,,
,513,82,$0.10 ,$8.20 ,,
,514,53,$1.50 ,$79.50 ,,
,515,25,$1.50 ,$37.50 ,,
,516,17,$1.50 ,$25.50 ,,
,517,43,$1.75 ,$75.25 ,,
,518,65,$1.25 ,$81.25 ,,
,519,39,$2.00 ,$78.00 ,,
,,,,,,
Friday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,414.25 "
,501,42,$6.50 ,$273.00 ,,
,502,40,$5.50 ,$220.00 ,,
,503,36,$4.50 ,$162.00 ,,
,504,27,$2.50 ,$67.50 ,,
,505,15,$5.00 ,$75.00 ,,
,506,14,$32.00 ,$448.00 ,,
,507,33,$0.75 ,$24.75 ,,
,508,20,$4.75 ,$95.00 ,,
,509,59,$7.50 ,$442.50 ,,
,510,33,$3.75 ,$123.75 ,,
,511,10,$4.50 ,$45.00 ,,
,512,8,$3.50 ,$28.00 ,,
,513,85,$0.10 ,$8.50 ,,
,514,72,$1.50 ,$108.00 ,,
,515,33,$1.50 ,$49.50 ,,
,516,14,$1.50 ,$21.00 ,,
,517,43,$1.75 ,$75.25 ,,
,518,70,$1.25 ,$87.50 ,,
,519,30,$2.00 ,$60.00 ,,
,,,,,,
Saturday,Item,Quantity,Item Price,Total Cost of Item,Total,"$3,581.55 "
,501,62,$6.50 ,$403.00 ,,
,502,70,$5.50 ,$385.00 ,,
,503,73,$4.50 ,$328.50 ,,
,504,44,$2.50 ,$110.00 ,,
,505,40,$5.00 ,$200.00 ,,
,506,10,$32.00 ,$320.00 ,,
,507,33,$0.75 ,$24.75 ,,
,508,26,$4.75 ,$123.50 ,,
,509,90,$7.50 ,$675.00 ,,
,510,57,$3.75 ,$213.75 ,,
,511,14,$4.50 ,$63.00 ,,
,512,15,$3.50 ,$52.50 ,,
,513,133,$0.10 ,$13.30 ,,
,514,120,$1.50 ,$180.00 ,,
,515,45,$1.50 ,$67.50 ,,
,516,23,$1.50 ,$34.50 ,,
,517,67,$1.75 ,$117.25 ,,
,518,120,$1.25 ,$150.00 ,,
,519,60,$2.00 ,$120.00 ,,
