Day,Order sumary,,,,, Totals 
,516,10,$1.50 ,$15.00 ,,
,517,30,$1.75 ,$52.50 ,,
,518,50,$1.25 ,$62.50 ,,
,519,25,$2.00 ,$50.00 ,,
,,,,,,
Wednesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,756.80 "
,501,36,$6.50 ,$234.00 ,,
,502,36,$5.50 ,$198.00 ,,
,503,36,$4.50 ,$162.00 ,,
,504,24,$2.50 ,$60.00 ,,
,505,6,$5.00 ,$30.00 ,,
,506,2,$32.00 ,$64.00 ,,
,507,30,$0.75 ,$22.50 ,,
,508,14,$4.75 ,$66.50 ,,
,509,54,$7.50 ,$405.00 ,,
,510,30,$3.75 ,$112.50 ,,
,511,7,$4.50 ,$31.50 ,,
,512,6,$3.50 ,$21.00 ,,
,513,78,$0.10 ,$7.80 ,,
,514,60,$1.50 ,$90.00 ,,
,515,24,$1.50 ,$36.00 ,,
,516,12,$1.50 ,$18.00 ,,
,517,36,$1.75 ,$63.00 ,,
,518,60,$1.25 ,$75.00 ,,
,519,30,$2.00 ,$60.00 ,,
,,,,,,
Thursday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,238.60 "
,501,46,$6.50 ,$299.00 ,,
,502,46,$5.50 ,$253.00 ,,
,503,46,$4.50 ,$207.00 ,,
,504,31,$2.50 ,$77.50 ,,
,505,7,$5.00 ,$35.00 ,,
,506,2,$32.00 ,$64.00 ,,
,507,39,$0.75 ,$29.25 ,,
,508,18,$4.75 ,$85.50 ,,
,509,70,$7.50 ,$525.00 ,,
,510,39,$3.75 ,$146.25 ,,
,511,9,$4.50 ,$40.50 ,,
,512,7,$3.50 ,$24.50 ,,
,513,101,$0.10 ,$10.10 ,,
,514,78,$1.50 ,$117.00 ,,
,515,31,$1.50 ,$46.50 ,,
,516,15,$1.50 ,$22.50 ,,
,517,46,$1.75 ,$80.50 ,,
,518,78,$1.25 ,$97.50 ,,
,519,39,$2.00 ,$78.00 ,,
,,,,,,
Friday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,672.60 "
,501,46,$6.50 ,$299.00 ,,
,502,46,$5.50 ,$253.00 ,,
,503,46,$4.50 ,$207.00 ,,
,504,31,$2.50 ,$77.50 ,,
,505,17,$5.00 ,$85.00 ,,
,506,14,$32.00 ,$448.00 ,,
,507,39,$0.75 ,$29.25 ,,
,508,18,$4.75 ,$85.50 ,,
,509,70,$7.50 ,$525.00 ,,
,510,39,$3.75 ,$146.25 ,,
,511,9,$4.50 ,$40.50 ,,
,512,7,$3.50 ,$24.50 ,,
,513,101,$0.10 ,$10.10 ,,
,514,78,$1.50 ,$117.00 ,,
,515,31,$1.50 ,$46.50 ,,
,516,15,$1.50 ,$22.50 ,,
,517,46,$1.75 ,$80.50 ,,
,518,78,$1.25 ,$97.50 ,,
,519,39,$2.00 ,$78.00 ,,
,,,,,,
Saturday,Item,Quantity,Item Price,Total Cost of Item,Total,"$3,698.60 "
,501,64,$6.50 ,$416.00 ,,
,502,64,$5.50 ,$352.00 ,,
,503,64,$4.50 ,$288.00 ,,
,504,43,$2.50 ,$107.50 ,,
,505,23,$5.00 ,$115.00 ,,
,506,19,$32.00 ,$608.00 ,,
,507,54,$0.75 ,$40.50 ,,
,508,25,$4.75 ,$118.75 ,,
,509,98,$7.50 ,$735.00 ,,
,510,54,$3.75 ,$202.50 ,,
,511,12,$4.50 ,$54.00 ,,
,512,9,$3.50 ,$31.50 ,,
,513,141,$0.10 ,$14.10 ,,
,514,109,$1.50 ,$163.50 ,,
,515,43,$1.50 ,$64.50 ,,
,516,21,$1.50 ,$31.50 ,,
,517,64,$1.75 ,$112.00 ,,
,518,109,$1.25 ,$136.25 ,,
,519,54,$2.00 ,$108.00 ,,
